date,code,name,vwap930,close,result,dev930_pct
2026-07-13,9531,東京ガス,6005.12,5930.0,低,-1.25
2026-07-13,9532,大阪ガス,5375.9,5299.0,低,-1.43
2026-07-13,9684,スクエニHD,2581.86,2571.5,低,-0.4
2026-07-13,9697,カプコン,3291.8,3336.0,高,1.34
2026-07-13,9766,コナミG,18401.52,18660.0,高,1.4
2026-07-13,9843,ニトリHD,2420.39,2397.0,低,-0.97
2026-07-13,9983,ファーストリテイリング,81799.0,81010.0,低,-0.96
2026-07-13,9984,ソフトバンクG,6438.81,6333.0,低,-1.64
2026-07-14,1605,INPEX,3492.27,3513.0,高,0.59
2026-07-14,1801,大成建設,13425.78,13625.0,高,1.48
2026-07-14,1802,大林組,3178.13,3174.0,低,-0.13
2026-07-14,1803,清水建設,2431.58,2451.0,高,0.8
2026-07-14,1812,鹿島建設,5540.28,5532.0,低,-0.15
2026-07-14,1925,大和ハウス,4542.7,4575.0,高,0.71
2026-07-14,1928,積水ハウス,3487.74,3497.0,高,0.27
2026-07-14,2269,明治HD,3780.51,3778.0,低,-0.07
2026-07-14,2413,エムスリー,1917.38,1944.0,高,1.39
2026-07-14,2502,アサヒGHD,1618.9,1603.0,低,-0.98
2026-07-14,2503,キリンHD,2843.75,2870.5,高,0.94
2026-07-14,2768,双日,5055.98,5109.0,高,1.05
2026-07-14,2801,キッコーマン,1636.86,1631.5,低,-0.33
2026-07-14,2802,味の素,5560.82,5671.0,高,1.98
2026-07-14,285A,キオクシアHD,65157.17,70140.0,高,7.65
2026-07-14,2914,JT,6155.37,6118.0,低,-0.61
2026-07-14,3038,神戸物産,2723.5,2731.5,高,0.29
2026-07-14,3092,ZOZO,1174.92,1188.0,高,1.11
2026-07-14,3099,三越伊勢丹HD,3982.68,4025.0,高,1.06
2026-07-14,3289,東急不動産HD,1299.51,1313.5,高,1.08
2026-07-14,3382,セブン&アイHD,2021.75,1993.0,低,-1.42
2026-07-14,3407,旭化成,1823.0,1867.0,高,2.41
2026-07-14,3436,SUMCO,5080.81,5383.0,高,5.95
2026-07-14,3778,さくらインターネット,3019.02,2976.0,低,-1.43
2026-07-14,4005,住友化学,521.53,540.9000244140625,高,3.71
2026-07-14,4063,信越化学,7305.75,7472.0,高,2.28
2026-07-14,4183,三井化学,2076.05,2158.0,高,3.95
2026-07-14,4188,三菱ケミカルG,1167.98,1203.0,高,3.0
2026-07-14,4307,野村総研,5157.75,5085.0,低,-1.41
2026-07-14,4385,メルカリ,4720.76,4784.0,高,1.34
2026-07-14,4452,花王,3257.25,3288.0,高,0.94
2026-07-14,4502,武田薬品,5354.28,5343.0,低,-0.21
2026-07-14,4503,アステラス製薬,2137.61,2136.0,低,-0.08
2026-07-14,4507,塩野義製薬,2836.55,2835.0,低,-0.05
2026-07-14,4519,中外製薬,7223.4,7254.0,高,0.42
2026-07-14,4523,エーザイ,4385.11,4351.0,低,-0.78
2026-07-14,4543,テルモ,2234.1,2232.5,低,-0.07
2026-07-14,4568,第一三共,2701.12,2672.5,低,-1.06
2026-07-14,4578,大塚HD,11108.17,10960.0,低,-1.33
2026-07-14,4689,LINEヤフー,449.82,447.1000061035156,低,-0.61
2026-07-14,4751,サイバーエージェント,1510.01,1513.0,高,0.2
2026-07-14,4755,楽天G,800.29,806.0999755859375,高,0.73
2026-07-14,4901,富士フイルム,3599.24,3642.0,高,1.19
2026-07-14,4911,資生堂,2901.46,2932.5,高,1.07
2026-07-14,5019,出光興産,1256.37,1264.5,高,0.65
2026-07-14,5020,ENEOS,1258.96,1264.0,高,0.4
2026-07-14,5108,ブリヂストン,3620.6,3656.0,高,0.98
2026-07-14,5201,AGC,6298.63,6464.0,高,2.63
2026-07-14,5253,カバー,1662.94,1689.0,高,1.57
2026-07-14,5401,日本製鉄,563.8,567.7999877929688,高,0.71
